,plot,transect_ID,treatment,genotype,plot_grid,complexity,replicate_N_or_S,survey_number,month,day,year,date,visit,time_block,surveyor,cloud_cover(%),current,wind_speed,wind_direction,start_time,end_time,survey_elapsed_time,survey_type,SpeciesCode,common_name,SpeciesName,Genus,Family,Order,MaxLength,TrophicLevel,a,b,MajorTrophicGroup,SubTrophicGroup,FishingStatus,log a,L inf,grid_number,life_phase,TL,transit,plot_grid_survey,plot_grid_visit
3157,LS,c,100L,M1,LS - 18,Low,S,81,June,11,2019,11-Jun-19,6,start,Taylor,10,L,NA,NA,11:21:00,11:42:00,0:21:00,recruit,346-02-11,Longfin Damselfish,Stegastes diencaeus,Stegastes,Pomacentridae,Perciformes,12,NA,0.0349,2.8956,Herbivore,Small Territorial Herbivore,Aquarium,-4.3479,12,18,A,11,NA,LS - 18 - 81,LS - 18 - 6
3158,LS,c,100L,M1,LS - 18,Low,S,81,June,11,2019,11-Jun-19,6,start,Taylor,10,L,NA,NA,11:21:00,11:42:00,0:21:00,recruit,358-04-17,Yellowhead Wrasse,Halichoeres garnoti,Halichoeres,Labridae,Perciformes,19,3.5,0.0052,3.3747,Invertivore,Mobile Invert Feeder,Aquarium,-5.6591,19,18,I,10,NA,LS - 18 - 81,LS - 18 - 6
3159,LS,c,100L,M1,LS - 18,Low,S,81,June,11,2019,11-Jun-19,6,start,Taylor,10,L,NA,NA,11:21:00,11:42:00,0:21:00,recruit,358-04-17,Yellowhead Wrasse,Halichoeres garnoti,Halichoeres,Labridae,Perciformes,19,3.5,0.0052,3.3747,Invertivore,Mobile Invert Feeder,Aquarium,-5.6591,19,18,A,16,NA,LS - 18 - 81,LS - 18 - 6
3160,LS,c,100L,M1,LS - 18,Low,S,81,June,11,2019,11-Jun-19,6,start,Taylor,10,L,NA,NA,11:21:00,11:42:00,0:21:00,recruit,358-04-17,Yellowhead Wrasse,Halichoeres garnoti,Halichoeres,Labridae,Perciformes,19,3.5,0.0052,3.3747,Invertivore,Mobile Invert Feeder,Aquarium,-5.6591,19,18,A,18,NA,LS - 18 - 81,LS - 18 - 6
3161,LS,c,control,NA,LS - 19,Low,S,81,June,11,2019,11-Jun-19,6,start,Taylor,10,L,NA,NA,11:21:00,11:42:00,0:21:00,recruit,306-02-16,Bar Jack,Carangoides ruber,Carangoides,Carangidae,Perciformes,59,3.8,0.018,2.99,Carnivore,Carnivore - mainly fish,Moderate commercial,-5.3687,59,19,A,22,NA,LS - 19 - 81,LS - 19 - 6
3162,LS,c,control,NA,LS - 19,Low,S,81,June,11,2019,11-Jun-19,6,start,Taylor,10,L,NA,NA,11:21:00,11:42:00,0:21:00,recruit,403-01-01,Colon Goby,Coryphopterus dicrus,Coryphopterus,Gobiidae,Perciformes,5,2.5,0.0213,2.2835,Omnivore,Omnivore,Aquarium,NA,5,19,A,2.5,NA,LS - 19 - 81,LS - 19 - 6
3163,LS,c,control,NA,LS - 19,Low,S,81,June,11,2019,11-Jun-19,6,start,Taylor,10,L,NA,NA,11:21:00,11:42:00,0:21:00,recruit,346-02-11,Longfin Damselfish,Stegastes diencaeus,Stegastes,Pomacentridae,Perciformes,12,NA,0.0349,2.8956,Herbivore,Small Territorial Herbivore,Aquarium,-4.3479,12,19,A,13,NA,LS - 19 - 81,LS - 19 - 6
3164,LS,c,control,NA,LS - 19,Low,S,81,June,11,2019,11-Jun-19,6,start,Taylor,10,L,NA,NA,11:21:00,11:42:00,0:21:00,recruit,360-05-11,Stoplight Parrotfish,Sparisoma viride,Sparisoma,Scaridae,Perciformes,64,2,0.037,2.905,Herbivore,Roving Herbivore,Minor commercial,NA,64,19,I,23,NA,LS - 19 - 81,LS - 19 - 6
3165,LS,c,control,NA,LS - 19,Low,S,81,June,11,2019,11-Jun-19,6,start,Taylor,10,L,NA,NA,11:21:00,11:42:00,0:21:00,recruit,360-05-11,Stoplight Parrotfish,Sparisoma viride,Sparisoma,Scaridae,Perciformes,64,2,0.037,2.905,Herbivore,Roving Herbivore,Minor commercial,NA,64,19,I,24,NA,LS - 19 - 81,LS - 19 - 6
3166,LS,c,control,NA,LS - 19,Low,S,81,June,11,2019,11-Jun-19,6,start,Taylor,10,L,NA,NA,11:21:00,11:42:00,0:21:00,recruit,360-05-11,Stoplight Parrotfish,Sparisoma viride,Sparisoma,Scaridae,Perciformes,64,2,0.037,2.905,Herbivore,Roving Herbivore,Minor commercial,NA,64,19,A,34,NA,LS - 19 - 81,LS - 19 - 6
3167,LS,c,control,NA,LS - 19,Low,S,81,June,11,2019,11-Jun-19,6,start,Taylor,10,L,NA,NA,11:21:00,11:42:00,0:21:00,recruit,360-09-16,Striped Parrotfish,Scarus iserti,Scarus,Scaridae,Perciformes,35,2,0.0166,3.0548,Herbivore,Roving Herbivore,Minor commercial,-4.8887,35,19,I,9,NA,LS - 19 - 81,LS - 19 - 6
3168,LS,c,30L70A,M5,LS - 20,Low,S,81,June,11,2019,11-Jun-19,6,start,Taylor,10,L,NA,NA,11:21:00,11:42:00,0:21:00,recruit,346-02-16,Bicolor Damselfish,Stegastes partitus,Stegastes,Pomacentridae,Perciformes,10,NA,0.0182,3.1519,Herbivore,Small Territorial Herbivore,Aquarium,-4.8921,10,20,A,5,NA,LS - 20 - 81,LS - 20 - 6
3169,LS,c,30L70A,M5,LS - 20,Low,S,81,June,11,2019,11-Jun-19,6,start,Taylor,10,L,NA,NA,11:21:00,11:42:00,0:21:00,recruit,360-09-16,Striped Parrotfish,Scarus iserti,Scarus,Scaridae,Perciformes,35,2,0.0166,3.0548,Herbivore,Roving Herbivore,Minor commercial,-4.8887,35,20,I,10,NA,LS - 20 - 81,LS - 20 - 6
3170,LS,c,70L30A,U63,LS - 21,Low,S,81,June,11,2019,11-Jun-19,6,start,Taylor,10,L,NA,NA,11:21:00,11:42:00,0:21:00,recruit,346-02-16,Bicolor Damselfish,Stegastes partitus,Stegastes,Pomacentridae,Perciformes,10,NA,0.0182,3.1519,Herbivore,Small Territorial Herbivore,Aquarium,-4.8921,10,21,A,5,NA,LS - 21 - 81,LS - 21 - 6
3171,LS,c,70L30A,U63,LS - 21,Low,S,81,June,11,2019,11-Jun-19,6,start,Taylor,10,L,NA,NA,11:21:00,11:42:00,0:21:00,recruit,358-05-11,Bluehead Wrasse,Thalassoma bifasciatum,Thalassoma,Labridae,Perciformes,25,3.3,0.0107,2.9162,Planktivore,Planktivore-oceanic schooler,Aquarium,-4.8865,25,21,A,8,NA,LS - 21 - 81,LS - 21 - 6
3172,LS,c,70L30A,U63,LS - 21,Low,S,81,June,11,2019,11-Jun-19,6,start,Taylor,10,L,NA,NA,11:21:00,11:42:00,0:21:00,recruit,396-01-11,Roughead Blenny,Enneanectes boehlkei,Enneanectes,Tripterygiidae,Perciformes,4,NA,0.0141,3.05,Herbivore,Small Territorial Herbivore,Aquarium,NA,4,21,A,2,NA,LS - 21 - 81,LS - 21 - 6
3173,LS,c,100L,U63,LS - 22,Low,S,81,June,11,2019,11-Jun-19,6,start,Taylor,10,L,NA,NA,11:21:00,11:42:00,0:21:00,recruit,395-00-00,Blenny Family,Blenniidae,Blenniidae,Blenniidae,Perciformes,12,NA,NA,NA,Herbivore,Small Territorial Herbivore,Aquarium,NA,12,22,A,2,NA,LS - 22 - 81,LS - 22 - 6
3174,LS,c,100L,U63,LS - 22,Low,S,81,June,11,2019,11-Jun-19,6,start,Taylor,10,L,NA,NA,11:21:00,11:42:00,0:21:00,recruit,403-01-01,Colon Goby,Coryphopterus dicrus,Coryphopterus,Gobiidae,Perciformes,5,2.5,0.0213,2.2835,Omnivore,Omnivore,Aquarium,NA,5,22,J,1.5,NA,LS - 22 - 81,LS - 22 - 6
3175,LS,c,100L,U63,LS - 22,Low,S,81,June,11,2019,11-Jun-19,6,start,Taylor,10,L,NA,NA,11:21:00,11:42:00,0:21:00,recruit,403-01-01,Colon Goby,Coryphopterus dicrus,Coryphopterus,Gobiidae,Perciformes,5,2.5,0.0213,2.2835,Omnivore,Omnivore,Aquarium,NA,5,22,J,1.5,NA,LS - 22 - 81,LS - 22 - 6
3176,LS,c,100L,U63,LS - 22,Low,S,81,June,11,2019,11-Jun-19,6,start,Taylor,10,L,NA,NA,11:21:00,11:42:00,0:21:00,recruit,403-01-01,Colon Goby,Coryphopterus dicrus,Coryphopterus,Gobiidae,Perciformes,5,2.5,0.0213,2.2835,Omnivore,Omnivore,Aquarium,NA,5,22,J,1.5,NA,LS - 22 - 81,LS - 22 - 6
3177,LS,c,30L70A,K1,LS - 23,Low,S,81,June,11,2019,11-Jun-19,6,start,Taylor,10,L,NA,NA,11:21:00,11:42:00,0:21:00,recruit,360-05-12,Redband Parrotfish,Sparisoma aurofrenatum,Sparisoma,Scaridae,Perciformes,28,2,0.0047,3.4291,Herbivore,Roving Herbivore,Minor commercial,-5.7587,28,23,J,2.5,NA,LS - 23 - 81,LS - 23 - 6
3178,LS,c,30L70A,K1,LS - 23,Low,S,81,June,11,2019,11-Jun-19,6,start,Taylor,10,L,NA,NA,11:21:00,11:42:00,0:21:00,recruit,360-05-12,Redband Parrotfish,Sparisoma aurofrenatum,Sparisoma,Scaridae,Perciformes,28,2,0.0047,3.4291,Herbivore,Roving Herbivore,Minor commercial,-5.7587,28,23,J,3,NA,LS - 23 - 81,LS - 23 - 6
3179,LS,c,30L70A,K1,LS - 23,Low,S,81,June,11,2019,11-Jun-19,6,start,Taylor,10,L,NA,NA,11:21:00,11:42:00,0:21:00,recruit,360-05-12,Redband Parrotfish,Sparisoma aurofrenatum,Sparisoma,Scaridae,Perciformes,28,2,0.0047,3.4291,Herbivore,Roving Herbivore,Minor commercial,-5.7587,28,23,A,21,NA,LS - 23 - 81,LS - 23 - 6
3180,LS,c,30L70A,K1,LS - 23,Low,S,81,June,11,2019,11-Jun-19,6,start,Taylor,10,L,NA,NA,11:21:00,11:42:00,0:21:00,recruit,360-05-11,Stoplight Parrotfish,Sparisoma viride,Sparisoma,Scaridae,Perciformes,64,2,0.037,2.905,Herbivore,Roving Herbivore,Minor commercial,NA,64,23,J,3,NA,LS - 23 - 81,LS - 23 - 6
3181,LS,c,30L70A,K1,LS - 23,Low,S,81,June,11,2019,11-Jun-19,6,start,Taylor,10,L,NA,NA,11:21:00,11:42:00,0:21:00,recruit,360-05-11,Stoplight Parrotfish,Sparisoma viride,Sparisoma,Scaridae,Perciformes,64,2,0.037,2.905,Herbivore,Roving Herbivore,Minor commercial,NA,64,23,J,5.5,NA,LS - 23 - 81,LS - 23 - 6
3182,LS,c,30L70A,K1,LS - 23,Low,S,81,June,11,2019,11-Jun-19,6,start,Taylor,10,L,NA,NA,11:21:00,11:42:00,0:21:00,recruit,358-04-17,Yellowhead Wrasse,Halichoeres garnoti,Halichoeres,Labridae,Perciformes,19,3.5,0.0052,3.3747,Invertivore,Mobile Invert Feeder,Aquarium,-5.6591,19,23,A,16.5,NA,LS - 23 - 81,LS - 23 - 6
3183,LS,c,50L50A,M1,LS - 24,Low,S,81,June,11,2019,11-Jun-19,6,start,Taylor,10,L,NA,NA,11:21:00,11:42:00,0:21:00,recruit,358-05-11,Bluehead Wrasse,Thalassoma bifasciatum,Thalassoma,Labridae,Perciformes,25,3.3,0.0107,2.9162,Planktivore,Planktivore-oceanic schooler,Aquarium,-4.8865,25,24,J,4,NA,LS - 24 - 81,LS - 24 - 6
3184,LS,c,50L50A,M1,LS - 24,Low,S,81,June,11,2019,11-Jun-19,6,start,Taylor,10,L,NA,NA,11:21:00,11:42:00,0:21:00,recruit,358-05-11,Bluehead Wrasse,Thalassoma bifasciatum,Thalassoma,Labridae,Perciformes,25,3.3,0.0107,2.9162,Planktivore,Planktivore-oceanic schooler,Aquarium,-4.8865,25,24,J,4,NA,LS - 24 - 81,LS - 24 - 6
3185,LS,c,50L50A,M1,LS - 24,Low,S,81,June,11,2019,11-Jun-19,6,start,Taylor,10,L,NA,NA,11:21:00,11:42:00,0:21:00,recruit,358-05-11,Bluehead Wrasse,Thalassoma bifasciatum,Thalassoma,Labridae,Perciformes,25,3.3,0.0107,2.9162,Planktivore,Planktivore-oceanic schooler,Aquarium,-4.8865,25,24,J,4.5,NA,LS - 24 - 81,LS - 24 - 6
3186,LS,c,50L50A,M1,LS - 24,Low,S,81,June,11,2019,11-Jun-19,6,start,Taylor,10,L,NA,NA,11:21:00,11:42:00,0:21:00,recruit,358-05-11,Bluehead Wrasse,Thalassoma bifasciatum,Thalassoma,Labridae,Perciformes,25,3.3,0.0107,2.9162,Planktivore,Planktivore-oceanic schooler,Aquarium,-4.8865,25,24,J,5,NA,LS - 24 - 81,LS - 24 - 6
3187,LS,c,50L50A,M1,LS - 24,Low,S,81,June,11,2019,11-Jun-19,6,start,Taylor,10,L,NA,NA,11:21:00,11:42:00,0:21:00,recruit,358-04-16,Clown Wrasse,Halichoeres maculipinna,Halichoeres,Labridae,Perciformes,18,3.3,0.0028,3.6932,Invertivore,Mobile Invert Feeder,Aquarium,-6.2524,18,24,J,5,NA,LS - 24 - 81,LS - 24 - 6
3188,LS,c,50L50A,M1,LS - 24,Low,S,81,June,11,2019,11-Jun-19,6,start,Taylor,10,L,NA,NA,11:21:00,11:42:00,0:21:00,recruit,346-02-11,Longfin Damselfish,Stegastes diencaeus,Stegastes,Pomacentridae,Perciformes,12,NA,0.0349,2.8956,Herbivore,Small Territorial Herbivore,Aquarium,-4.3479,12,24,A,12,NA,LS - 24 - 81,LS - 24 - 6
3189,LS,c,50L50A,M1,LS - 24,Low,S,81,June,11,2019,11-Jun-19,6,start,Taylor,10,L,NA,NA,11:21:00,11:42:00,0:21:00,recruit,360-05-12,Redband Parrotfish,Sparisoma aurofrenatum,Sparisoma,Scaridae,Perciformes,28,2,0.0047,3.4291,Herbivore,Roving Herbivore,Minor commercial,-5.7587,28,24,J,4,NA,LS - 24 - 81,LS - 24 - 6
3190,LS,c,50L50A,M1,LS - 24,Low,S,81,June,11,2019,11-Jun-19,6,start,Taylor,10,L,NA,NA,11:21:00,11:42:00,0:21:00,recruit,360-05-12,Redband Parrotfish,Sparisoma aurofrenatum,Sparisoma,Scaridae,Perciformes,28,2,0.0047,3.4291,Herbivore,Roving Herbivore,Minor commercial,-5.7587,28,24,J,7,NA,LS - 24 - 81,LS - 24 - 6
3191,LS,c,50L50A,M1,LS - 24,Low,S,81,June,11,2019,11-Jun-19,6,start,Taylor,10,L,NA,NA,11:21:00,11:42:00,0:21:00,recruit,360-09-16,Striped Parrotfish,Scarus iserti,Scarus,Scaridae,Perciformes,35,2,0.0166,3.0548,Herbivore,Roving Herbivore,Minor commercial,-4.8887,35,24,I,6,NA,LS - 24 - 81,LS - 24 - 6
3192,LS,c,50L50A,M1,LS - 24,Low,S,81,June,11,2019,11-Jun-19,6,start,Taylor,10,L,NA,NA,11:21:00,11:42:00,0:21:00,recruit,360-09-16,Striped Parrotfish,Scarus iserti,Scarus,Scaridae,Perciformes,35,2,0.0166,3.0548,Herbivore,Roving Herbivore,Minor commercial,-4.8887,35,24,I,9,NA,LS - 24 - 81,LS - 24 - 6
3193,LS,c,50L50A,M1,LS - 24,Low,S,81,June,11,2019,11-Jun-19,6,start,Taylor,10,L,NA,NA,11:21:00,11:42:00,0:21:00,recruit,360-09-16,Striped Parrotfish,Scarus iserti,Scarus,Scaridae,Perciformes,35,2,0.0166,3.0548,Herbivore,Roving Herbivore,Minor commercial,-4.8887,35,24,I,11,NA,LS - 24 - 81,LS - 24 - 6
3194,LS,c,50L50A,M1,LS - 24,Low,S,81,June,11,2019,11-Jun-19,6,start,Taylor,10,L,NA,NA,11:21:00,11:42:00,0:21:00,recruit,360-09-16,Striped Parrotfish,Scarus iserti,Scarus,Scaridae,Perciformes,35,2,0.0166,3.0548,Herbivore,Roving Herbivore,Minor commercial,-4.8887,35,24,I,13,NA,LS - 24 - 81,LS - 24 - 6
3195,LS,c,50L50A,M1,LS - 24,Low,S,81,June,11,2019,11-Jun-19,6,start,Taylor,10,L,NA,NA,11:21:00,11:42:00,0:21:00,recruit,360-09-16,Striped Parrotfish,Scarus iserti,Scarus,Scaridae,Perciformes,35,2,0.0166,3.0548,Herbivore,Roving Herbivore,Minor commercial,-4.8887,35,24,I,15,NA,LS - 24 - 81,LS - 24 - 6
3196,HS,a,50L50A,U63,HS - 1,High,S,82,June,11,2019,11-Jun-19,6,start,Kelsey,10,L,7,SE,12:02:00,12:23:00,0:21:00,recruit,360-09-16,Striped Parrotfish,Scarus iserti,Scarus,Scaridae,Perciformes,35,2,0.0166,3.0548,Herbivore,Roving Herbivore,Minor commercial,-4.8887,35,1,J,7,yes,HS - 1 - 82,HS - 1 - 6
3197,HS,a,50L50A,U63,HS - 1,High,S,82,June,11,2019,11-Jun-19,6,start,Kelsey,10,L,7,SE,12:02:00,12:23:00,0:21:00,recruit,360-09-16,Striped Parrotfish,Scarus iserti,Scarus,Scaridae,Perciformes,35,2,0.0166,3.0548,Herbivore,Roving Herbivore,Minor commercial,-4.8887,35,1,J,7,yes,HS - 1 - 82,HS - 1 - 6
3198,HS,a,50L50A,U63,HS - 1,High,S,82,June,11,2019,11-Jun-19,6,start,Kelsey,10,L,7,SE,12:02:00,12:23:00,0:21:00,recruit,360-09-16,Striped Parrotfish,Scarus iserti,Scarus,Scaridae,Perciformes,35,2,0.0166,3.0548,Herbivore,Roving Herbivore,Minor commercial,-4.8887,35,1,J,7,yes,HS - 1 - 82,HS - 1 - 6
3199,HS,a,50L50A,U63,HS - 1,High,S,82,June,11,2019,11-Jun-19,6,start,Kelsey,10,L,7,SE,12:02:00,12:23:00,0:21:00,recruit,360-09-16,Striped Parrotfish,Scarus iserti,Scarus,Scaridae,Perciformes,35,2,0.0166,3.0548,Herbivore,Roving Herbivore,Minor commercial,-4.8887,35,1,J,8,yes,HS - 1 - 82,HS - 1 - 6
3200,HS,a,50L50A,U63,HS - 1,High,S,82,June,11,2019,11-Jun-19,6,start,Kelsey,10,L,7,SE,12:02:00,12:23:00,0:21:00,recruit,360-09-16,Striped Parrotfish,Scarus iserti,Scarus,Scaridae,Perciformes,35,2,0.0166,3.0548,Herbivore,Roving Herbivore,Minor commercial,-4.8887,35,1,J,8,yes,HS - 1 - 82,HS - 1 - 6
3201,HS,a,50L50A,U63,HS - 1,High,S,82,June,11,2019,11-Jun-19,6,start,Kelsey,10,L,7,SE,12:02:00,12:23:00,0:21:00,recruit,360-09-16,Striped Parrotfish,Scarus iserti,Scarus,Scaridae,Perciformes,35,2,0.0166,3.0548,Herbivore,Roving Herbivore,Minor commercial,-4.8887,35,1,J,8,yes,HS - 1 - 82,HS - 1 - 6
3202,HS,a,50L50A,U63,HS - 1,High,S,82,June,11,2019,11-Jun-19,6,start,Kelsey,10,L,7,SE,12:02:00,12:23:00,0:21:00,recruit,360-09-16,Striped Parrotfish,Scarus iserti,Scarus,Scaridae,Perciformes,35,2,0.0166,3.0548,Herbivore,Roving Herbivore,Minor commercial,-4.8887,35,1,J,8,yes,HS - 1 - 82,HS - 1 - 6
3203,HS,a,50L50A,U63,HS - 1,High,S,82,June,11,2019,11-Jun-19,6,start,Kelsey,10,L,7,SE,12:02:00,12:23:00,0:21:00,recruit,360-09-16,Striped Parrotfish,Scarus iserti,Scarus,Scaridae,Perciformes,35,2,0.0166,3.0548,Herbivore,Roving Herbivore,Minor commercial,-4.8887,35,1,J,9,yes,HS - 1 - 82,HS - 1 - 6
3204,HS,a,50L50A,U63,HS - 1,High,S,82,June,11,2019,11-Jun-19,6,start,Kelsey,10,L,7,SE,12:02:00,12:23:00,0:21:00,recruit,360-09-16,Striped Parrotfish,Scarus iserti,Scarus,Scaridae,Perciformes,35,2,0.0166,3.0548,Herbivore,Roving Herbivore,Minor commercial,-4.8887,35,1,J,9,yes,HS - 1 - 82,HS - 1 - 6
3205,HS,a,50L50A,U63,HS - 1,High,S,82,June,11,2019,11-Jun-19,6,start,Kelsey,10,L,7,SE,12:02:00,12:23:00,0:21:00,recruit,360-09-16,Striped Parrotfish,Scarus iserti,Scarus,Scaridae,Perciformes,35,2,0.0166,3.0548,Herbivore,Roving Herbivore,Minor commercial,-4.8887,35,1,J,9,yes,HS - 1 - 82,HS - 1 - 6
3206,HS,a,control,NA,HS - 2,High,S,82,June,11,2019,11-Jun-19,6,start,Kelsey,10,L,7,SE,12:02:00,12:23:00,0:21:00,recruit,316-01-15,Schoolmaster,Lutjanus apodus,Lutjanus,Lutjanidae,Perciformes,67,4.1,0.0194,2.9779,Carnivore,Carnivore - mainly fish,Moderate commercial,-4.6909,67,2,A,21,NA,HS - 2 - 82,HS - 2 - 6
3207,HS,a,50L50A,K1,HS - 3,High,S,82,June,11,2019,11-Jun-19,6,start,Kelsey,10,L,7,SE,12:02:00,12:23:00,0:21:00,recruit,358-05-11,Bluehead Wrasse,Thalassoma bifasciatum,Thalassoma,Labridae,Perciformes,25,3.3,0.0107,2.9162,Planktivore,Planktivore-oceanic schooler,Aquarium,-4.8865,25,3,J,3,NA,HS - 3 - 82,HS - 3 - 6
3208,HS,a,50L50A,K1,HS - 3,High,S,82,June,11,2019,11-Jun-19,6,start,Kelsey,10,L,7,SE,12:02:00,12:23:00,0:21:00,recruit,358-05-11,Bluehead Wrasse,Thalassoma bifasciatum,Thalassoma,Labridae,Perciformes,25,3.3,0.0107,2.9162,Planktivore,Planktivore-oceanic schooler,Aquarium,-4.8865,25,3,J,4,NA,HS - 3 - 82,HS - 3 - 6
3209,HS,a,50L50A,K1,HS - 3,High,S,82,June,11,2019,11-Jun-19,6,start,Kelsey,10,L,7,SE,12:02:00,12:23:00,0:21:00,recruit,358-05-11,Bluehead Wrasse,Thalassoma bifasciatum,Thalassoma,Labridae,Perciformes,25,3.3,0.0107,2.9162,Planktivore,Planktivore-oceanic schooler,Aquarium,-4.8865,25,3,J,4,NA,HS - 3 - 82,HS - 3 - 6
3210,HS,a,50L50A,K1,HS - 3,High,S,82,June,11,2019,11-Jun-19,6,start,Kelsey,10,L,7,SE,12:02:00,12:23:00,0:21:00,recruit,358-05-11,Bluehead Wrasse,Thalassoma bifasciatum,Thalassoma,Labridae,Perciformes,25,3.3,0.0107,2.9162,Planktivore,Planktivore-oceanic schooler,Aquarium,-4.8865,25,3,J,4,NA,HS - 3 - 82,HS - 3 - 6
3211,HS,a,50L50A,K1,HS - 3,High,S,82,June,11,2019,11-Jun-19,6,start,Kelsey,10,L,7,SE,12:02:00,12:23:00,0:21:00,recruit,358-05-11,Bluehead Wrasse,Thalassoma bifasciatum,Thalassoma,Labridae,Perciformes,25,3.3,0.0107,2.9162,Planktivore,Planktivore-oceanic schooler,Aquarium,-4.8865,25,3,J,5,NA,HS - 3 - 82,HS - 3 - 6
3212,HS,a,50L50A,K1,HS - 3,High,S,82,June,11,2019,11-Jun-19,6,start,Kelsey,10,L,7,SE,12:02:00,12:23:00,0:21:00,recruit,358-05-11,Bluehead Wrasse,Thalassoma bifasciatum,Thalassoma,Labridae,Perciformes,25,3.3,0.0107,2.9162,Planktivore,Planktivore-oceanic schooler,Aquarium,-4.8865,25,3,J,6,NA,HS - 3 - 82,HS - 3 - 6
3213,HS,a,50L50A,K1,HS - 3,High,S,82,June,11,2019,11-Jun-19,6,start,Kelsey,10,L,7,SE,12:02:00,12:23:00,0:21:00,recruit,358-05-11,Bluehead Wrasse,Thalassoma bifasciatum,Thalassoma,Labridae,Perciformes,25,3.3,0.0107,2.9162,Planktivore,Planktivore-oceanic schooler,Aquarium,-4.8865,25,3,A,7.5,NA,HS - 3 - 82,HS - 3 - 6
3214,HS,a,50L50A,K1,HS - 3,High,S,82,June,11,2019,11-Jun-19,6,start,Kelsey,10,L,7,SE,12:02:00,12:23:00,0:21:00,recruit,316-01-15,Schoolmaster,Lutjanus apodus,Lutjanus,Lutjanidae,Perciformes,67,4.1,0.0194,2.9779,Carnivore,Carnivore - mainly fish,Moderate commercial,-4.6909,67,3,A,22,NA,HS - 3 - 82,HS - 3 - 6
3215,HS,a,50L50A,K1,HS - 3,High,S,82,June,11,2019,11-Jun-19,6,start,Kelsey,10,L,7,SE,12:02:00,12:23:00,0:21:00,recruit,360-05-11,Stoplight Parrotfish,Sparisoma viride,Sparisoma,Scaridae,Perciformes,64,2,0.037,2.905,Herbivore,Roving Herbivore,Minor commercial,NA,64,3,J,2.5,NA,HS - 3 - 82,HS - 3 - 6
3216,HS,a,70L30A,U63,HS - 4,High,S,82,June,11,2019,11-Jun-19,6,start,Kelsey,10,L,7,SE,12:02:00,12:23:00,0:21:00,recruit,403-01-04,Bridled Goby,Coryphopterus glaucofraenum,Coryphopterus,Gobiidae,Perciformes,8,2.7,0.0345,2.68,Omnivore,Omnivore,Aquarium,NA,8,4,J,2,NA,HS - 4 - 82,HS - 4 - 6
3217,HS,a,70L30A,U63,HS - 4,High,S,82,June,11,2019,11-Jun-19,6,start,Kelsey,10,L,7,SE,12:02:00,12:23:00,0:21:00,recruit,403-01-04,Bridled Goby,Coryphopterus glaucofraenum,Coryphopterus,Gobiidae,Perciformes,8,2.7,0.0345,2.68,Omnivore,Omnivore,Aquarium,NA,8,4,A,4,NA,HS - 4 - 82,HS - 4 - 6
3218,HS,a,30L70A,M1,HS - 7,High,S,82,June,11,2019,11-Jun-19,6,start,Kelsey,10,L,7,SE,12:02:00,12:23:00,0:21:00,recruit,284-01-18,Graysby,Cephalopholis cruentata,Cephalopholis,Serranidae,Perciformes,43,4.2,0.0121,3.082,Carnivore,Carnivore - mainly fish,Moderate commercial,NA,43,7,A,14,NA,HS - 7 - 82,HS - 7 - 6
3219,HS,a,30L70A,M1,HS - 7,High,S,82,June,11,2019,11-Jun-19,6,start,Kelsey,10,L,7,SE,12:02:00,12:23:00,0:21:00,recruit,346-02-11,Longfin Damselfish,Stegastes diencaeus,Stegastes,Pomacentridae,Perciformes,12,NA,0.0349,2.8956,Herbivore,Small Territorial Herbivore,Aquarium,-4.3479,12,7,A,9.5,NA,HS - 7 - 82,HS - 7 - 6
3220,HS,a,70L30A,M5,HS - 8,High,S,82,June,11,2019,11-Jun-19,6,start,Kelsey,10,L,7,SE,12:02:00,12:23:00,0:21:00,recruit,346-02-16,Bicolor Damselfish,Stegastes partitus,Stegastes,Pomacentridae,Perciformes,10,NA,0.0182,3.1519,Herbivore,Small Territorial Herbivore,Aquarium,-4.8921,10,8,A,4,NA,HS - 8 - 82,HS - 8 - 6
3221,HS,a,70L30A,M5,HS - 8,High,S,82,June,11,2019,11-Jun-19,6,start,Kelsey,10,L,7,SE,12:02:00,12:23:00,0:21:00,recruit,346-02-16,Bicolor Damselfish,Stegastes partitus,Stegastes,Pomacentridae,Perciformes,10,NA,0.0182,3.1519,Herbivore,Small Territorial Herbivore,Aquarium,-4.8921,10,8,A,5.5,NA,HS - 8 - 82,HS - 8 - 6
3222,HS,a,70L30A,M5,HS - 8,High,S,82,June,11,2019,11-Jun-19,6,start,Kelsey,10,L,7,SE,12:02:00,12:23:00,0:21:00,recruit,358-05-11,Bluehead Wrasse,Thalassoma bifasciatum,Thalassoma,Labridae,Perciformes,25,3.3,0.0107,2.9162,Planktivore,Planktivore-oceanic schooler,Aquarium,-4.8865,25,8,J,2,NA,HS - 8 - 82,HS - 8 - 6
3223,HS,a,70L30A,M5,HS - 8,High,S,82,June,11,2019,11-Jun-19,6,start,Kelsey,10,L,7,SE,12:02:00,12:23:00,0:21:00,recruit,358-05-11,Bluehead Wrasse,Thalassoma bifasciatum,Thalassoma,Labridae,Perciformes,25,3.3,0.0107,2.9162,Planktivore,Planktivore-oceanic schooler,Aquarium,-4.8865,25,8,J,2,NA,HS - 8 - 82,HS - 8 - 6
